Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,41,50,1102,30,1,40,40,40,94,60,40,80,0,5993,19479,8,10,11,60,1,0,8,0,20,6,4,0,5
40,49,100,279,60,8,20,60,60,61,40,40,40,100,5130,24907,1,0,23,80,4,1,10,3,60,10,7,1,7
60,37,50,1373,60,2,40,80,60,92,40,20,60,0,2090,2396,6,10,15,60,2,0,7,3,60,0,0,0,0
40,33,100,1392,60,3,80,80,40,56,60,20,60,100,2909,23159,1,10,11,60,3,0,8,3,60,8,7,3,0
40,27,50,591,60,2,20,20,60,40,60,20,40,100,3468,16632,9,0,12,60,4,1,6,3,60,2,2,2,2
40,32,100,1005,60,2,40,80,60,79,60,20,80,0,3068,11864,0,0,13,60,3,0,8,2,40,7,7,3,6
40,59,50,1324,60,3,60,60,40,81,80,20,20,100,2670,9964,4,10,20,80,1,3,12,3,40,1,0,0,0
40,30,50,1358,60,24,20,80,60,67,60,20,60,50,2693,13335,1,0,22,80,2,1,1,2,60,1,0,0,0
40,38,100,216,60,23,60,80,60,44,40,60,60,0,9526,8787,0,0,21,80,2,0,10,2,60,9,7,1,8
40,36,50,1299,60,27,60,60,60,94,60,40,60,100,5237,16577,6,0,13,60,2,2,17,3,40,7,7,7,7
40,35,50,809,60,16,60,20,60,84,80,20,40,100,2426,16479,0,0,13,60,3,1,6,5,60,5,4,0,3
40,29,50,153,60,15,40,80,40,49,40,40,60,0,4193,12682,0,10,12,60,4,0,10,3,60,9,5,0,8
40,31,50,670,60,26,20,20,60,31,60,20,60,50,2911,15170,1,0,17,60,4,1,5,1,40,5,2,4,3
40,34,50,1346,60,19,40,40,60,93,60,20,80,50,2661,8758,0,0,11,60,3,1,3,2,60,2,2,1,2
60,28,50,103,60,24,60,60,60,50,40,20,60,0,2028,12947,5,10,14,60,2,0,6,4,60,4,2,0,3
40,29,50,1389,60,21,80,40,40,51,80,60,20,50,9980,10195,1,0,11,60,3,1,10,1,60,10,9,8,8
40,32,50,334,60,5,40,20,60,80,80,20,40,50,3298,15053,0,10,12,60,4,2,7,5,40,6,2,0,5
40,22,0,1123,60,16,40,80,60,96,80,20,80,50,2935,7324,1,10,13,60,2,2,1,2,40,1,0,0,0
40,53,50,1219,30,2,80,20,40,78,40,80,80,100,15427,22021,2,0,16,60,3,0,31,3,60,25,8,3,7
40,38,50,371,60,2,60,80,60,45,60,20,80,0,3944,4306,5,10,11,60,3,0,6,3,60,3,2,1,2
40,24,0,673,60,11,40,20,40,96,80,40,60,50,4011,8232,0,0,18,60,4,1,5,5,40,4,2,1,3
60,36,50,1218,30,9,80,60,60,82,40,20,20,0,3407,6986,7,0,23,80,2,0,10,4,60,5,3,0,3
40,34,50,419,60,7,80,20,40,53,60,60,40,0,11994,21293,0,0,11,60,3,0,13,4,60,12,6,2,11
40,21,50,391,60,15,40,60,60,96,60,20,80,0,1232,19281,1,0,14,60,4,0,0,6,60,0,0,0,0
60,34,50,699,60,6,20,40,60,83,60,20,20,0,2960,17102,2,0,11,60,3,0,8,2,60,4,2,1,3
40,53,50,1282,60,5,60,60,40,58,60,100,60,50,19094,10735,4,0,11,60,4,1,26,3,40,14,13,4,8
60,32,100,1125,60,16,20,40,40,72,20,20,20,0,3919,4681,1,10,22,80,2,0,10,5,60,10,2,6,7
40,42,50,691,30,8,80,60,60,48,60,40,40,100,6825,21173,0,0,11,60,4,1,10,2,60,9,7,4,2
40,44,50,477,60,7,80,20,40,42,40,60,80,100,10248,2094,3,0,14,60,4,1,24,4,60,22,6,5,17
40,46,50,705,30,2,80,40,40,83,60,100,20,0,18947,22822,3,0,12,60,4,0,22,2,40,2,2,2,1
40,33,50,924,60,2,60,60,60,78,60,20,80,0,2496,6670,4,0,11,60,4,0,7,3,60,1,1,0,0
40,44,50,1459,60,10,80,80,60,41,60,40,80,100,6465,19121,2,10,13,60,4,0,9,5,80,4,2,1,3
40,30,50,125,60,9,40,80,60,83,40,20,60,0,2206,16117,1,0,13,60,1,0,10,5,60,10,0,1,8
60,39,50,895,30,5,60,80,60,56,60,40,80,100,2086,3335,3,0,14,60,3,1,19,6,80,1,0,0,0
60,24,50,813,60,1,60,40,60,61,60,20,80,100,2293,3020,2,10,16,60,1,1,6,2,40,2,0,2,0
40,43,50,1273,60,2,40,80,40,72,80,20,60,50,2645,21923,1,0,12,60,4,2,6,3,40,5,3,1,4
60,50,50,869,30,3,40,20,60,86,40,20,60,100,2683,3810,1,10,14,60,3,0,3,2,60,3,2,0,2
40,35,50,890,30,2,60,80,40,97,60,20,80,100,2014,9687,1,0,13,60,1,0,2,3,60,2,2,2,2
40,36,50,852,60,5,80,40,40,82,40,20,20,100,3419,13072,9,10,14,60,4,1,6,3,80,1,1,0,0
40,33,100,1141,30,1,60,60,40,42,80,40,20,100,5376,3193,2,0,19,60,1,2,10,3,60,5,3,1,3
40,35,50,464,60,4,40,60,60,75,60,20,80,50,1951,10910,1,0,12,60,3,1,1,3,60,1,0,0,0
40,27,50,1240,60,2,80,80,40,33,60,20,20,50,2341,19715,1,0,13,60,4,1,1,6,60,1,0,0,0
60,26,50,1357,60,25,60,20,60,48,20,20,60,0,2293,10558,1,0,12,60,3,0,1,2,40,1,0,0,1
40,27,100,994,30,8,60,80,60,37,60,60,60,0,8726,2975,1,0,15,60,4,0,9,0,60,9,8,1,7
40,30,100,721,60,1,40,60,40,58,60,40,80,0,4011,10781,1,0,23,80,4,0,12,2,60,12,8,3,7
60,41,50,1360,60,12,60,40,40,49,60,100,60,100,19545,16280,1,0,12,60,4,0,23,0,60,22,15,15,8
40,34,0,1065,30,23,80,40,60,72,60,40,60,0,4568,10034,0,0,20,80,3,0,10,2,60,9,5,8,7
40,37,50,408,60,19,40,40,60,73,60,20,40,100,3022,10227,4,0,21,80,1,0,8,1,60,1,0,0,0
40,46,100,1211,30,5,80,20,60,98,60,40,80,0,5772,20445,4,10,21,80,3,0,14,4,60,9,6,0,8
40,35,50,1229,60,8,20,80,60,36,80,20,80,100,2269,4892,1,0,19,60,4,0,1,2,60,1,0,0,1
60,48,50,626,60,1,40,20,60,98,40,60,60,0,5381,19294,9,10,13,60,4,0,23,2,60,1,0,0,0
60,28,50,1434,60,5,80,60,60,50,60,20,60,0,3441,11179,1,10,13,60,3,0,2,3,40,2,2,2,2
40,44,50,1488,30,1,100,40,40,75,60,40,20,50,5454,4009,5,10,21,80,3,1,9,2,40,4,3,1,3
40,35,0,1097,60,11,40,60,60,79,40,60,20,100,9884,8302,2,10,13,60,3,1,10,3,60,4,0,2,3
40,26,50,1443,30,23,60,60,40,47,40,40,80,100,4157,21436,7,10,19,60,3,1,5,2,40,2,2,0,0
40,33,100,515,60,1,40,20,40,98,60,60,80,0,13458,15146,1,10,12,60,3,0,15,1,60,15,14,8,12
40,35,100,853,30,18,100,40,60,71,60,60,20,100,9069,11031,1,0,22,80,4,1,9,3,40,9,8,1,8
40,35,50,1142,60,23,80,60,40,30,60,20,20,100,4014,16002,3,10,15,60,3,1,4,3,60,2,2,2,2
40,31,50,655,60,7,80,80,60,48,60,40,80,50,5915,9528,3,0,22,80,4,1,10,3,40,7,7,1,7
40,37,50,1115,60,1,80,20,60,51,40,40,60,50,5993,2689,1,0,18,60,3,1,7,2,80,7,5,0,7
40,32,50,427,60,1,60,20,60,33,60,40,80,100,6162,10877,1,10,22,80,2,1,9,3,60,9,8,7,8
40,38,100,653,60,29,100,80,40,50,60,40,80,0,2406,5456,1,0,11,60,4,0,10,2,60,10,3,9,9
40,50,50,989,60,7,40,40,40,43,40,100,60,50,18740,16701,5,10,12,60,4,1,29,2,40,27,3,13,8
40,59,50,1435,30,25,60,20,40,99,60,60,20,0,7637,2354,7,0,11,60,4,0,28,3,40,21,16,7,9
40,36,50,1223,60,8,60,60,40,59,60,60,60,50,10096,8202,1,0,13,60,2,3,17,2,60,17,14,12,8
40,55,50,836,60,8,60,80,40,33,60,80,60,50,14756,19730,2,10,14,60,3,3,21,2,60,5,0,0,2
40,36,100,1195,60,11,60,40,60,95,40,40,40,0,6499,22656,1,0,13,60,3,0,6,3,60,6,5,0,3
40,45,50,1339,60,7,60,40,60,59,60,60,20,50,9724,18787,2,0,17,60,3,1,25,2,60,1,0,0,0
40,35,100,664,60,1,60,40,60,79,60,20,20,100,2194,5868,4,0,13,60,4,1,5,2,40,3,2,1,2
60,36,50,318,60,9,60,80,60,79,40,20,60,100,3388,21777,0,10,17,60,1,1,2,0,40,1,0,0,0
40,59,100,1225,30,1,20,20,40,57,40,40,60,0,5473,24668,7,0,11,60,4,0,20,2,40,4,3,1,3
40,29,50,1328,60,2,60,60,60,76,60,20,40,100,2703,4956,0,0,23,80,4,1,6,3,60,5,4,0,4
40,31,50,1082,60,1,80,60,60,87,60,20,40,0,2501,18775,1,0,17,60,2,0,1,4,60,1,1,1,0
40,32,50,548,60,1,60,40,60,66,60,40,40,100,6220,7346,1,0,17,60,2,2,10,3,60,10,4,0,9
40,36,50,132,60,6,60,40,40,55,80,20,80,100,3038,22002,3,0,12,60,2,0,5,3,60,1,0,0,0
40,31,50,746,60,8,80,60,40,61,60,40,80,0,4424,20682,1,0,23,80,4,0,11,2,60,11,7,1,8
40,35,50,776,30,1,80,60,60,32,40,40,20,0,4312,23016,0,0,14,60,2,0,16,2,60,15,13,2,8
40,45,50,193,60,6,80,80,60,52,60,60,20,100,13245,15067,4,10,14,60,2,0,17,3,80,0,0,0,0
40,37,50,397,60,7,80,20,60,30,60,60,60,0,13664,25258,4,0,13,60,1,0,16,3,80,5,2,0,2
40,46,50,945,90,5,40,40,60,80,60,40,40,50,5021,10425,8,10,22,80,4,1,16,2,60,4,2,0,2
40,30,50,852,60,1,20,80,60,55,40,40,80,100,5126,15998,1,10,12,60,3,2,10,1,40,10,8,3,0
40,35,50,1214,60,1,60,40,60,30,40,20,60,0,2859,26278,1,0,18,60,1,0,6,3,60,6,4,0,4
40,55,50,111,30,1,40,20,60,70,60,60,80,100,10239,18092,3,0,14,60,4,1,24,4,60,1,0,1,0
